"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
".","Missing",3893,9965,NA,"DMDMARTL"
"1 to 6","Range of Values",8818,8818,NA,"DMDHHSIZ"
"7","7 or more people in the Household",1147,9965,NA,"DMDHHSIZ"
".","Missing",0,9965,NA,"DMDHHSIZ"
"1","$     0 to $ 4,999",298,298,NA,"INDHHINC"
"2","$ 5,000 to $ 9,999",654,952,NA,"INDHHINC"
"3","$10,000 to $14,999",843,1795,NA,"INDHHINC"
"4","$15,000 to $19,999",762,2557,NA,"INDHHINC"
"5","$20,000 to $24,999",777,3334,NA,"INDHHINC"
"6","$25,000 to $34,999",1118,4452,NA,"INDHHINC"
"7","$35,000 to $44,999",804,5256,NA,"INDHHINC"
"8","$45,000 to $54,999",607,5863,NA,"INDHHINC"
"9","$55,000 to $64,999",509,6372,NA,"INDHHINC"
"10","$65,000 to $74,999",371,6743,NA,"INDHHINC"
"11","$75,000 and Over",1255,7998,NA,"INDHHINC"
"12","Over $20,000",314,8312,NA,"INDHHINC"
"13","Under $20,000",53,8365,NA,"INDHHINC"
"77","Refused",41,8406,NA,"INDHHINC"
"99","Don't know",41,8447,NA,"INDHHINC"
".","Missing",1518,9965,NA,"INDHHINC"
"1","$     0 to $ 4,999",569,569,NA,"INDFMINC"
"2","$ 5,000 to $ 9,999",877,1446,NA,"INDFMINC"
"3","$10,000 to $14,999",1062,2508,NA,"INDFMINC"
"4","$15,000 to $19,999",829,3337,NA,"INDFMINC"
"5","$20,000 to $24,999",844,4181,NA,"INDFMINC"
"6","$25,000 to $34,999",1077,5258,NA,"INDFMINC"
"7","$35,000 to $44,999",740,5998,NA,"INDFMINC"
"8","$45,000 to $54,999",611,6609,NA,"INDFMINC"
"9","$55,000 to $64,999",451,7060,NA,"INDFMINC"
"10","$65,000 to $74,999",348,7408,NA,"INDFMINC"
"11","$75,000 and Over",1074,8482,NA,"INDFMINC"
"12","Over $20,000",404,8886,NA,"INDFMINC"
"13","Under $20,000",366,9252,NA,"INDFMINC"
"77","Refused",301,9553,NA,"INDFMINC"
"99","Don't know",230,9783,NA,"INDFMINC"
".","Missing",182,9965,NA,"INDFMINC"
"0 to 4.99","Range of Values",7466,7466,NA,"INDFMPIR"
"5","PIR value greater than or equal to 5.00",1016,8482,NA,"INDFMPIR"
".","Missing",1483,9965,NA,"INDFMPIR"
"1","Yes, positive lab pregnancy test or self-reported pregnant at exam",311,311,NA,"RIDEXPRG"
"2","SP not pregnant at exam",1443,1754,NA,"RIDEXPRG"
"3","Cannot ascertain if SP is pregnant at exam",208,1962,NA,"RIDEXPRG"
".","Missing",8003,9965,NA,"RIDEXPRG"
"1","Yes, based on positive lab pregnancy test, self-reported pregnancy status, screener interview data or menstrual period history",285,285,NA,"RIDPREG"
"2","SP not pregnant",1544,1829,NA,"RIDPREG"
"9","Cannot ascertain if SP is pregnant",0,1829,NA,"RIDPREG"
".","Missing",8136,9965,NA,"RIDPREG"
"1","Male",5597,5597,NA,"DMDHRGND"
"2","Female",4356,9953,NA,"DMDHRGND"
".","Missing",12,9965,NA,"DMDHRGND"
"17 to 84","Range of Values",9782,9782,NA,"DMDHRAGE"
"85",">= 85 years of age",171,9953,NA,"DMDHRAGE"
".","Missing",12,9965,NA,"DMDHRAGE"
"1","Born in 50 US States or Washington, DC",6545,6545,NA,"DMDHRBRN"
"2","Born in Mexico",1974,8519,NA,"DMDHRBRN"
"3","Born Elsewhere",1046,9565,NA,"DMDHRBRN"
"7","Refused",12,9577,NA,"DMDHRBRN"
"9","Don't know",0,9577,NA,"DMDHRBRN"
".","Missing",388,9965,NA,"DMDHRBRN"
"1","Less Than 9th Grade",1747,1747,NA,"DMDHREDU"
"2","9-11th Grade (Includes 12th grade with no diploma)",2100,3847,NA,"DMDHREDU"
"3","High School Grad/GED or equivalent",2188,6035,NA,"DMDHREDU"
"4","Some College or AA degree",2026,8061,NA,"DMDHREDU"
"5","College Graduate or above",1431,9492,NA,"DMDHREDU"
"7","Refused",13,9505,NA,"DMDHREDU"
"9","Don't know",66,9571,NA,"DMDHREDU"
".","Missing",394,9965,NA,"DMDHREDU"
"1","Married",4673,4673,NA,"DMDHRMAR"
"2","Widowed",577,5250,NA,"DMDHRMAR"
"3","Divorced",861,6111,NA,"DMDHRMAR"
"4","Separated",538,6649,NA,"DMDHRMAR"
"5","Never married",1115,7764,NA,"DMDHRMAR"
"6","Living with partner",267,8031,NA,"DMDHRMAR"
"77","Refused",18,8049,NA,"DMDHRMAR"
"99","Don't know",13,8062,NA,"DMDHRMAR"
".","Missing",1903,9965,NA,"DMDHRMAR"
"1","Less Than 9th Grade",607,607,NA,"DMDHSEDU"
"2","9-11th Grade (Includes 12th grade with no diploma)",729,1336,NA,"DMDHSEDU"
"3","High School Grad/GED or equivalent",728,2064,NA,"DMDHSEDU"
"4","Some College or AA degree",661,2725,NA,"DMDHSEDU"
"5","College Graduate or above",483,3208,NA,"DMDHSEDU"
"7","Refused",3,3211,NA,"DMDHSEDU"
"9","Don't know",21,3232,NA,"DMDHSEDU"
".","Missing",6733,9965,NA,"DMDHSEDU"
"974.66525161 to 236864.13597","Range of Values",9965,9965,NA,"WTINT2YR"
".","Missing",0,9965,NA,"WTINT2YR"
"620.682382 to 100652.32964","Range of Values",9965,9965,NA,"WTINT4YR"
".","Missing",0,9965,NA,"WTINT4YR"
"0 to 261361.33834","Range of Values",9965,9965,NA,"WTMEC2YR"
".","Missing",0,9965,NA,"WTMEC2YR"
"0 to 103831.17105","Range of Values",9965,9965,NA,"WTMEC4YR"
".","Missing",0,9965,NA,"WTMEC4YR"
"1 to 3","Range of Values",9965,9965,NA,"SDMVPSU"
".","Missing",0,9965,NA,"SDMVPSU"
"1 to 13","Range of Values",9965,9965,NA,"SDMVSTRA"
".","Missing",0,9965,NA,"SDMVSTRA"
"1 to 52","Range of Values",9965,9965,NA,"SDJ1REPN"
".","Missing",0,9965,NA,"SDJ1REPN"
"1","Value Imputed",2,2,NA,"DMAETHN"
".","Missing",9963,9965,NA,"DMAETHN"
