"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"6 to 882","Range of Values",7739,7739,NA,"URXUCR"
".","Missing",243,7982,NA,"URXUCR"
"530 to 77969","Range of Values",7739,7739,NA,"URXUCRSI"
".","Missing",243,7982,NA,"URXUCRSI"
"0.3 to 9870","Range of Values",7738,7738,NA,"URXUMA"
"0.2","Below Limit of Detection",1,7739,NA,"URXUMA"
".","Missing",243,7982,NA,"URXUMA"
"0.3 to 9870","Range of Values",7738,7738,NA,"URXUMASI"
"0.2","Below Limit of Detection",1,7739,NA,"URXUMASI"
".","Missing",243,7982,NA,"URXUMASI"
